text;label
o MATHEUS tem muita didática e paciência.;2
O professor é bem didático.;2
A didática do MATHEUS é excelente ;2
A didática é incrível. o e fluxo do conteúdo e material exposto na aula me surpreenderam. Outro ponto que estou gostando muito é que todo o tempo da aula eu estou fazendo junto. Realmente me ajudando no meu dia a dia.;2
Podia ser continuo as aulas, pq agora ele só volta dia 04/03.;1
O professor é muito bom;2
Estou amando o curso.;2
Não. Treinamento excelente. ;1
Treinamento muito prático, isso é perfeito. Estou amando!!!;2
O professor é muito atencioso e sempre disposto a sanar nossas dúvidas, quantas vezes forem necessárias.;2
O ALFREDO explica muito bem. Extremamente atencioso e paciente. As vezes existe a necessidade de explicar novamente mas não pela competência do mesmo, e sim pela complexidade do assunto. Excelente profissional.;2
As aulas são bem explicativas. Mas é o excel... não tem como ser fácil.;0
Ainda mais sendo 4 horas direto, é puxado, já temos um dia corrido, tem que sair correndo para ir embora, tem preocupação com o horário do ônibus, com os filhos, a janta.É muita coisa além do excel.;0
A didática é realmente muito boa, porém o nosso dia a dia é muito agitado. Então, dias consecutivos fica complicado de não deixar as tarefas do trabalho pendentes.;0
Excelente treinamento, porém o tempo poderia ser mais segregado, 3h de uma vez fica puxado.;0
Estão de parabéns!;1
O conteúdo programático é muito bom.;2
A explicação mais detalhada do racional por trás das fórmulas (onde o programa busca a informação, o porquê é necessário fazer determinado caminho e etc.) ajudaria a trazer uma visão mais clara do comportamento do programa em relação ao resultado que se quer chegar a partir de cada tópico.;0
A forma de ensinar do MATHEUS é muito boa, como se fosse uma simples conversa. Isso deixa o treinamento mais leve e fácil de entender. ;2
A didática do MATHEUS é diferenciada. Muita atenção aos alunos e dinamismo na transmissão do conteúdo.;2
Apenas o video de onboarding que estava desatualizado com relação ao site da Oracle, com isso muitas pessoas tiveram dificuldade em instalar os arquivos. De resto tudo ótimo, aulas e professores otimos, estou gostando bastante do curso.;1
Até agora tudo muito bom... Estou aprendendo muito ;1
Gostaria de elogiar o treinamento que estamos tendo. Durante todo este período, a didádica, atenção, paciência e conhecimento do conteúdo tem sido muito bem transmitido para os alunos. Muito obrigada!  ;2
O professor tem uma ótima didática, preocupado se todo mundo está entendendo as informações. Muito bom!! A única coisa que tenho a destacar é o horário, tem sido cansativo. ;0
Muito difícil o PBI :4 horas direto é muito puxado, chega uma hora que tudo fica confuso.;0
A didática, conhecimento, cuidado e a atenção do Prof MATHEUS é realmente algo ímpar! Ele faz a diferença em nosso treinamento.;2
A professora ensina muito bem! Estou conseguindo aos poucos aplicar no meu dia a dia;2
Sugestão ter um pequeno intervalo de 10 min. Das 11:00 ás  11:10 para dar uma esticar , ir ao banheiro etc.;0
Curso bem completo e prático. Professor tem uma excelente didática!;2
Treinamento bem objetivo e dinâmico.;1
sugestão seria acelerar o conteúdo e condensar tópicos.;0
A princípio esta muito bom.;1
Acredito que a clareza e paciência do instrutor sao os diferenciais no curso;2
Poderiam deixar as gravações disponíveis a todos por mais tempo? Gostaria de revisar mais alguns pontos.;1
Nada  a acrescentar.;1
Estou com dificuldade para associar tanto conteúdo de uma vez só. Acredito que vou conseguir aprender, mas preciso ir vendo o material no meu tempo.;0
Incluir alguma dinâmica ou interação entre os participantes;1
Que fosse um pouco mais lento;0
A instrutora JOSEFINA possui uma didática muito boa, traz explicações claras e precisas e tem paciência em explicar novamente, assim como muda a forma de explicar, caso o tema esteja mais difícil. Acredito que o ritmo poderia ser mais lento, uma vez que sou totalmente iniciante em Python, mas entendo que preciso de mais tempo para revisar o conteúdo, pois é muito extenso. Os conteúdos, cartilhas e exemplos são bons e possuem diferentes níveis. Estou gostando do curso, apesar de estar sendo um pouco difícil inicialmente. Superou as expectativas. ;0
A estrutura da aula sendo mais prático é bem bacana. O professor é bastante agradável e didático. Sugestao: O professor pode esconder mais a pressa quando estivermos atrasados, existe um plano de aula, mas pode fingir mais tranquilidade rs, vai dar tudo certo. Muito bom. ;0
Elogio: professor MATHEUS tem uma didática, conhecimento e paciência excelente! Sugestão de melhoria: mais aulas, pois o curso completo tem 170 horas e o nosso será apenas 6 aulas de 4 horas. Acho bem pouco.;1
O instrutor, em geral, tem boa didática e conhecimento da ferramenta. Entretanto ele está um pouco perdido em relação ao andamento dos conteúdos. Ele inicia a aula sem saber bem ao conteúdo na qual a aula anterior foi encerrada e não sabe por onde iniciar a aula atual.;0
Não.;1
As vezes não seria necessário explicar mais de duas vezes a mesma coisa. Claro que nesse caso a culpa não é do professor, mas não sei se os alunos solicitam para explicar algumas coisas novamente por dificuldade de entender ou se estão fazendo outras tarefas ao mesmo tempo.;0
A questão do horário, pela parte da manhã tenho que entregar muitas demandas e não tenho quem faça, estou iniciando antes, mas as vezes tenho que fazer algo durante a aula ainda ;0
Não;1
Os exemplos nas tarefas deveriam ser seguimentados, ou seja, não inseridos sob o exemplo anterior. Desta forma, teríamos todos os exemplos na planilha modelo.;0
Apesar de eu não ter conseguido participar de todas as aulas, devido a priorização do trabalho, o fato de ter a gravação vai ajudar muito para eu me recuperar depois.;1
Mais horas de aula.;0
Imagino que não caiba no tempo, mas seria interessante poder desenvolver um caso nosso.;1
Reduzir o tempo das aulas pois 4hrs seguidas chega um momento em que a gente está cansado e não conseguimos nos concentrar e absorver os conteúdos. ;0
Estou acompanhando pela plataforma, excelente conteúdo. ;1
